Region,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15
DenmarkGreenland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,4.0,4.0,5.0,6.0,6.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0
Diamond Princess,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,61.0,64.0,135.0,135.0,175.0,175.0,218.0,285.0,355.0,454.0,542.0,621.0,634.0,634.0,634.0,691.0,691.0,691.0,705.0,705.0,705.0,705.0,705.0,705.0,706.0,706.0,706.0,706.0,706.0,706.0,706.0,706.0,706.0,706.0,706.0,706.0,706.0,706.0,706.0,712.0,712.0,712.0,712.0,712.0,712.0,712.0,712.0,712.0,712.0,712.0,712.0,712.0,712.0,712.0,712.0,712.0,712.0,712.0,712.0,712.0,712.0,712.0,712.0,712.0,712.0,712.0,712.0,712.0,712.0,712.0,712.0,712.0,712.0,712.0,712.0,712.0,712.0,712.0,712.0,712.0,712.0,712.0,712.0,712.0,712.0,712.0,712.0,712.0,712.0,712.0,712.0,712.0,712.0,712.0,712.0,712.0,712.0,712.0
Djibouti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,11.0,11.0,12.0,14.0,18.0,18.0,30.0,33.0,40.0,49.0,50.0,59.0,90.0,90.0,135.0,135.0,150.0,187.0,214.0,298.0,363.0,435.0,591.0,732.0,732.0,846.0,846.0,945.0,974.0,986.0,999.0,1008.0,1023.0,1035.0,1072.0,1077.0,1089.0,1097.0,1112.0,1112.0,1116.0,1120.0,1124.0,1133.0,1135.0,1189.0,1210.0,1227.0,1256.0,1268.0,1284.0,1309.0
Dominica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,7.0,11.0,11.0,11.0,11.0,11.0,12.0,12.0,12.0,12.0,14.0,14.0,15.0,15.0,15.0,15.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
Dominican Republic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,11.0,11.0,11.0,21.0,21.0,34.0,72.0,112.0,202.0,245.0,312.0,392.0,488.0,581.0,719.0,859.0,901.0,1109.0,1284.0,1380.0,1488.0,1488.0,1745.0,1828.0,1956.0,2111.0,2349.0,2620.0,2759.0,2967.0,3167.0,3286.0,3614.0,3755.0,4126.0,4335.0,4680.0,4964.0,5044.0,5300.0,5543.0,5749.0,5926.0,6135.0,6293.0,6416.0,6652.0,6972.0,7288.0,7578.0,7954.0,8235.0,8480.0,8807.0,9095.0,9376.0,9882.0,10347.0,10634.0,10900.0,11196.0,11320.0,11739.0
Ecuador,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,7.0,10.0,13.0,13.0,13.0,14.0,15.0,15.0,17.0,17.0,17.0,28.0,28.0,37.0,58.0,111.0,199.0,367.0,506.0,789.0,981.0,1082.0,1173.0,1403.0,1595.0,1823.0,1924.0,1962.0,2240.0,2748.0,3163.0,3368.0,3465.0,3646.0,3747.0,3747.0,4450.0,4965.0,7161.0,7257.0,7466.0,7529.0,7603.0,7858.0,8225.0,8450.0,9022.0,9468.0,10128.0,10398.0,10850.0,11183.0,22719.0,22719.0,22719.0,23240.0,24258.0,24675.0,24934.0,26336.0,27464.0,29538.0,31881.0,31881.0,31881.0,30298.0,28818.0,29071.0,29559.0,29509.0,30419.0,30486.0,30502.0,31467.0
Egypt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,15.0,15.0,49.0,55.0,59.0,60.0,67.0,80.0,109.0,110.0,150.0,196.0,196.0,256.0,285.0,294.0,327.0,366.0,402.0,456.0,495.0,536.0,576.0,609.0,656.0,710.0,779.0,865.0,985.0,1070.0,1173.0,1322.0,1450.0,1560.0,1699.0,1794.0,1939.0,2065.0,2190.0,2350.0,2505.0,2673.0,2844.0,3032.0,3144.0,3333.0,3490.0,3659.0,3891.0,4092.0,4319.0,4534.0,4782.0,5042.0,5268.0,5537.0,5895.0,6193.0,6465.0,6813.0,7201.0,7588.0,7981.0,8476.0,8964.0,9400.0,9746.0,10093.0,10431.0,10829.0,11228.0
El Salvador,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,3.0,5.0,9.0,13.0,13.0,19.0,24.0,30.0,32.0,32.0,41.0,46.0,56.0,62.0,69.0,78.0,93.0,103.0,117.0,118.0,125.0,137.0,149.0,159.0,164.0,177.0,190.0,201.0,218.0,225.0,237.0,250.0,274.0,274.0,298.0,323.0,345.0,377.0,395.0,424.0,446.0,490.0,555.0,587.0,633.0,695.0,742.0,784.0,889.0,958.0,998.0,1037.0,1112.0,1210.0
Equatorial Guinea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,6.0,6.0,6.0,6.0,9.0,9.0,9.0,12.0,12.0,12.0,12.0,12.0,12.0,15.0,15.0,16.0,16.0,16.0,16.0,16.0,18.0,18.0,18.0,18.0,21.0,21.0,41.0,51.0,51.0,79.0,79.0,79.0,79.0,83.0,84.0,84.0,214.0,258.0,258.0,258.0,315.0,315.0,315.0,315.0,315.0,315.0,315.0,315.0,439.0,439.0,439.0,439.0,439.0,439.0,439.0,522.0,583.0,594.0
Eritrea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0,6.0,6.0,6.0,12.0,12.0,15.0,15.0,22.0,22.0,29.0,29.0,31.0,31.0,33.0,33.0,34.0,34.0,34.0,34.0,34.0,35.0,35.0,35.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0
